trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-82.03695547821698,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-126.2668152255682,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-129.59944174336792,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-72.96358030862466,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-125.69997875157864,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-98.79011642817197,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",35,0,-186.5972603128532,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-133.0857152151672,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,8,-44.25655946537351,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-109.33761896952926,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-137.18991730954642,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-145.95972609981644,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-139.5162342708016,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-84.98303005946323,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-64.35213338437639,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-203.64852587443616,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",25,0,-200.42459953431182,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-31.00078481871596,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-34.422503251077366,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-75.00448042657479,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",30,0,-138.06914820582278,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,12,-37.767942485488646,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.001, 'e': 0.97824023505121}",25,0,-114.77238121004177,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",20,7,-17.97524976979281,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",25,0,-125.99861565167227,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",35,0,-187.2884289817589,"{0: 21, 1: 4, 2: 5, 3: 3, 4: 2}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-109.95478419620234,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",25,16,-4.077455744927352,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-147.42073831618077,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-138.25844116499084,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,0,-56.3750477782591,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-361.55148612455855,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 8}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",30,0,-179.5601112339283,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",25,0,-162.53348304550494,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",20,3,-72.52330791189091,"{0: 10, 1: 5, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",20,0,-84.74664090638171,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",20,0,-93.10758792180948,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",25,0,-141.94073878676738,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",20,0,-72.41239976503434,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",30,0,-149.35403806354654,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",25,0,-77.32409605017759,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",25,11,-96.33039846336268,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-122.55899574448136,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",25,0,-104.97899324525841,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-67.81695906179598,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",25,0,-77.29981849001481,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",20,0,-146.71829427248244,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-208.09142684715724,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",25,0,-184.91734769988386,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-38.84582573141128,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",25,0,-103.42995040457693,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",25,0,-161.81808651280383,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-150.48430890262205,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",25,0,-207.85284544531453,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 4}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",25,0,-189.15171559670966,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-79.11390526680542,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",20,0,-152.97937857843917,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-137.35879198279505,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",20,0,-148.49627751927645,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,0,-98.342708227038,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",25,1,-193.31559490014502,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 3}",1
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",25,5,-93.2283158708696,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",1
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",30,0,-97.62678300285003,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,0,-176.91872644609103,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",25,4,-103.64262454855773,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",20,0,-76.07554886425221,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-121.3125766607065,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",25,0,-181.26316450801585,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",20,0,-179.1895579199936,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
70,False,"{'a': 0.001, 'e': 0.933326680078202}",30,0,-93.20073711575665,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",20,0,-98.1386505400074,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",20,0,-112.37104749808593,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",20,2,-40.89340088222623,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 0}",1
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",20,8,-29.715374904048907,"{0: 7, 1: 4, 2: 0, 3: 1, 4: 0}",1
